indonesian,english
kakak,older sibling
adik,younger sibling
keluarga,family
teman,friend
pacar,boyfriend/girlfriend
suami,husband
istri,wife
nama,name
umur,age
rumah,house
kamar,room
pintu,door
jendela,window
lantai,floor
dinding,wall
atap,roof
dapur,kitchen
meja,table
kursi,chair
tempat,"place, seat"
kota,"city, town"
desa,village
jalan,"road, street, walk"
toko,"shop, store"
pasar,market
sekolah,school
kantor,office
rumah_sakit,hospital
gereja,church
masjid,mosque
taman,"park, garden"
pantai,"beach, coast"
gunung,mountain
laut,sea
sungai,river
danau,lake
pulau,island
hutan,forest
sawah,rice field
tanah,"land, soil"
langit,sky
matahari,sun
bulan,moon
bintang,star
awan,cloud
hujan,rain
angin,wind
air,water
api,fire
udara,air
cahaya,light
batu,"stone, rock"
pasir,sand
kayu,"wood, timber"
besi,iron
emas,gold
perak,silver
besar,"big, large"
kecil,small
tinggi,"tall, high"
rendah,low
panjang,long
pendek,short
lebar,"wide, broad"
sempit,"narrow, tight"
berat,heavy
ringan,light (weight)
cepat,fast
lambat,slow
baru,"new, just"
lama,old (things)
tua,old (people)
muda,young
bagus,"good, nice"
buruk,bad
baik,good
jahat,"evil, bad"
cantik,"beautiful, pretty"
tampan,handsome
indah,beautiful
jelek,ugly
bersih,clean
kotor,dirty
kuat,strong
lemah,weak
keras,hard
lembut,soft
panas,hot
dingin,cold
basah,wet
kering,dry
gelap,dark
terang,bright
penuh,full
kosong,empty
buka,open
tutup,closed
hidup,"live, life"
mati,"dead, die"
sakit,sick
sehat,healthy
senang,happy
sedih,sad
marah,angry
takut,afraid
berani,brave
lelah,tired
lapar,hungry
haus,thirsty
kaya,rich
miskin,poor
mudah,easy
sulit,difficult
penting,important
menarik,interesting
membosankan,boring
makan,eat
minum,drink
tidur,sleep
bangun,"wake up, build"
berjalan,walk
berlari,run
lari,run
duduk,sit
berdiri,stand
berbicara,speak
bicara,"speak, talk"
berkata,say
bertanya,ask
menjawab,answer
membaca,read
menulis,write
mendengar,hear
melihat,see
merasa,feel
tahu,"know, tofu"
mengerti,understand
belajar,learn
mengajar,teach
ajar,"teach, learn"
bekerja,work
bermain,play
main,play
mencari,search
menemukan,find
memberi,give
beri,give
menerima,receive
membuat,make
mengambil,take
meletakkan,put
taruh,"put, place"
menaruh,"put, place"
membawa,bring
mengirim,send
membeli,buy
menjual,sell
membayar,pay
menunggu,wait
membantu,help
mencoba,try
coba,try
mulai,start
selesai,finish
berhenti,stop
terus,"continue, keep on"
ikut,"follow, join"
pergi,go
datang,come
masuk,enter
keluar,exit
naik,"go up, ride"
turun,"go down, descend"
kembali,return
pindah,move
tinggal,"live, stay"
kasih,"love, affection"
sayang,"dear, love, pity"
cinta,love
suka,like
benci,hate
percaya,believe
harap,hope
ingin,want
butuh,need
ingat,remember
lupa,forget
pikir,"think, thought"
kepala,head
mata,eye
telinga,ear
hidung,nose
mulut,mouth
gigi,tooth
lidah,tongue
rambut,hair
tangan,hand
kaki,"foot, leg"
jari,finger
bahu,shoulder
lutut,knee
perut,"stomach, belly"
punggung,back (body)
kulit,skin
darah,blood
tulang,bone
hati,"heart, liver"
napas,breath
buku,book
kertas,paper
pena,pen
pensil,pencil
tas,bag
kunci,key
uang,money
harga,price
makanan,food
minuman,drink (noun)
nasi,rice (cooked)
beras,rice (uncooked)
roti,bread
daging,meat
ikan,fish
ayam,chicken
telur,egg
sayur,vegetable
buah,fruit
gula,sugar
garam,salt
minyak,oil
kopi,coffee
teh,tea
susu,milk
es,ice
baju,"shirt, clothes"
celana,pants
sepatu,shoes
topi,hat
kacamata,"glasses, spectacles"
jam_tangan,watch
cincin,ring
kaos,t-shirt
sarung,sarong
jubah,robe
sabuk,belt
dasi,necktie
mobil,car
motor,motorcycle
sepeda,bicycle
bus,bus
kereta,train
pesawat,airplane
kapal,"ship, boat"
perahu,boat
binatang,animal
anjing,dog
kucing,cat
burung,bird
ikan,fish
kuda,horse
sapi,cow
kambing,goat
ayam,chicken
bebek,duck
ular,snake
tikus,mouse
kupu_kupu,butterfly
semut,ant
nyamuk,mosquito
kutu,"louse, flea"
elang,eagle
angsa,goose
beruang,bear (animal)
katak,frog
kerja,work
pekerjaan,job
guru,teacher
dokter,doctor
polisi,police
tentara,soldier
prajurit,soldier
petani,farmer
pedagang,merchant
pelayan,"waiter, servant"
raja,king
ratu,queen
presiden,president
hakim,judge
ahli,expert
seniman,artist
penyanyi,singer
pemain,player
perang,war
damai,peace
senjata,weapon
tentara,army
musuh,enemy
teman,friend
bangsa,nation
negara,country
pemerintah,government
hukum,law
aturan,"rule, regulation"
kebijakan,policy
pengadilan,court (of law)
kerajaan,kingdom
baik,good
benar,"right, correct, true"
salah,"wrong, mistake"
betul,"correct, true"
jujur,honest
bohong,lie
rahasia,secret
aman,safe
bahaya,danger
masalah,problem
jawaban,answer
pertanyaan,question
cerita,story
dongeng,"fairy tale, story"
berita,news
pesan,"message, order"
surat,letter
kata,word
bahasa,language
kalimat,sentence
arti,meaning
contoh,example
alasan,reason
tujuan,"goal, purpose"
cara,way
hal,"thing, matter"
sesuatu,something
banyak,many
saja,"only, just"
pun,also
sih,(emphasis particle)
dong,(emphasis particle)
kan,"right?, isn't it?"
kok,(informal emphasis)
deh,(informal particle)
lho,(surprise particle)
nih,(this here)
tuh,(that there)
dah,already (informal)
yuk,let's go
ayo,"come on, let's"
hei,hey
wah,wow
aduh,ouch
astaga,oh my
ya,"yes, right"
si,the (person marker)
para,the (plural marker)
sang,the (literary)
per,per
se,one/each
ku,"my, I (prefix)"
mu,your (suffix)
nya,"his, her, its"
di,(prefix: passive)
ber,(prefix: intransitive verb)
me,(prefix: active verb)
ter,(prefix: superlative/accidental)
pe,(prefix: doer/noun)
ke,(prefix: ordinal/noun)
an,(suffix: noun)
kan,(suffix: causative)
bagi,"for, divide"
gila,"crazy, insane"
keren,"cool, awesome"
ganteng,handsome
mantan,"ex-, former"
magang,internship
siap,ready
serius,serious
fokus,focus
santai,"relaxed, easy-going"
semangat,"spirit, enthusiasm"
dewasa,"adult, mature"
wanita,"woman, female"
cewek,girl (informal)
cowok,boy (informal)
gue,I (Jakarta slang)
lu,you (Jakarta slang)
nggak,no (informal)
emang,indeed (informal)
banget,very (informal)
kayak,"like, as (informal)"
doang,"only, just (informal)"
aja,just (informal)
udah,already (informal)
gimana,how (informal)
gitu,like that (informal)
begitu,"so, like that, such"
bagaimana,how
kenapa,why
apa,what
siapa,who
mana,where
kapan,when
berapa,how much/many
dimana,where
kemana,"where to, to where"
darimana,from where
mengapa,why
bilamana,when (formal)
bakar,"burn, grill"
pasang,"pair; install; tide"
putar,"turn, rotate, spin"
gelar,"title, degree"
simpan,"save, store, keep"
buang,"throw away, discard"
suruh,"order, tell someone to do"
ajak,"invite, ask along"
kejar,chase
hajar,"beat up, hit"
paksa,"force, compel"
atur,"arrange, organize"
cocok,"suitable, match"
kena,"hit, affected by"
serang,attack
belok,turn (direction)
iris,slice
retak,"crack, cracked"
seru,"exciting, fun"
macam,"kind, type, sort"
balas,"reply, respond"
gunakan,use
pandai,"clever, skilled"
curiga,suspicious
kencang,"fast, tight"
belanja,shopping
angka,"number, digit"
daftar,"list, register"
peran,role
layar,"screen, sail"
tombol,button (on device)
bakat,talent
sikap,attitude
berkat,"blessing, thanks to"
tiang,"pole, pillar"
gaya,style
daya,"power, energy"
suhu,temperature
emosi,emotion
mental,mental
ilusi,illusion
asa,hope
budaya,culture
seni,art
metode,method
istilah,"term, terminology"
terapi,therapy
atom,atom
nol,zero
persen,percent
mil,mile
meter,meter
set,set
tim,team
biro,bureau
stan,"stand, booth"
pola,pattern
bakal,"will, going to"
panggung,stage
rekan,colleague
barisan,"row, line, ranks"
sepasang,a pair of
dukungan,support
panggilan,call
penawaran,offer
pesanan,order (purchase)
peluang,"opportunity, chance"
kebakaran,fire (disaster)
ketinggian,"height, altitude"
pimpinan,leadership
perguruan,educational institution
peralatan,"equipment, tools"
cairan,"liquid, fluid"
menurun,"decrease, decline"
memasak,cook
tertarik,interested
terbang,fly (verb)
sebelah,"beside, next to"
kiri,left (direction)
kanan,right (direction)
atas,"above, top"
bawah,"below, bottom"
depan,front
belakang,behind
dalam,"inside, deep"
luar,outside
dekat,near
jauh,far
sini,here
situ,there
sana,there (far)
mana,where
sekitar,"around, approximately"
tengah,"middle, center"
samping,side
pinggir,edge
ujung,"end, tip"
awal,beginning
akhir,end
raya,"great, grand"
lorong,"corridor, hallway"
tenda,tent
kaus,"t-shirt, socks"
matang,"ripe, mature, cooked"
jarum,needle
tong,"barrel, drum"
batang,"stem, trunk, bar"
bel,"bell, doorbell"
muka,face
liat,"tough; see (informal)"
pekan,week
ganda,double
sara,sensitive/taboo topic
babak,"round, stage"
rob,tidal flood
bang,brother (informal)
bak,"like, as; tub, basin"
soda,soda
apel,"apple; roll call"
anggur,"grape, wine; unemployed"
bibi,aunt
buta,blind
barang,"goods, thing, item"
kabut,"fog, mist"
cedera,injury
lemak,fat (noun)
kaku,"stiff, rigid"
peri,fairy
ari,placenta
gawat,"critical, serious"
medali,medal
jarak,distance
jalang,"wild, stray"
banci,"census; transgender (informal)"
segel,seal
roma,pore
koma,"comma; coma"
tambang,"mine; rope"
derek,"crane, tow truck"
tata,"order, arrangement"
badai,storm
bangga,proud
biru,blue
kentang,potato
botol,bottle
basket,basketball
jin,"jinn, spirit"
suku,"tribe, ethnic group"
bekas,"former, used; mark, trace"
kondom,condom
permen,"candy, sweets"
pengantin,bride/groom
balon,balloon
rudal,missile
narkoba,"drugs, narcotics"
hak,right (entitlement)
alam,"nature, world"
bom,bomb
pelacur,prostitute
keranjang,basket
perahu,boat
komentar,comment
alat,"tool, device"
pak,"sir, Mr."
tuan,"sir, Mr., master"
bu,"ma'am, Mrs."
mas,older brother (Javanese)
mbak,older sister (Javanese)
bapak,"father, sir"
salam,"greeting, peace"
selamat,"congratulations, safe"
terima_kasih,thank you
maaf,sorry
silakan,"please, go ahead"
permisi,excuse me
tolong,please help
halo,hello
sampai_jumpa,goodbye
selamat_pagi,good morning
selamat_siang,good afternoon
selamat_sore,good evening
selamat_malam,good night
apa_kabar,how are you
baik_baik_saja,fine
sama_sama,you're welcome
laki_laki,male
perempuan,female
gadis,girl
pemuda,young man
nenek,grandmother
kakek,grandfather
paman,uncle
sepupu,cousin
menantu,son/daughter-in-law
mertua,parent-in-law
tetangga,neighbor
sahabat,best friend
kenalan,acquaintance
bos,boss
karyawan,employee
manajer,manager
pegawai,staff
tentara,soldier
pilot,pilot
sopir,driver
nelayan,fisherman
tukang,craftsman
wartawan,journalist
pengacara,lawyer
ilmuwan,scientist
insinyur,engineer
perawat,nurse
kali,"time (occurrence); river"
dasar,"base, basis"
sumber,source
bagian,part
jumlah,"total, amount"
ukuran,"size, measure"
bentuk,"shape, form"
warna,color
merah,red
kuning,yellow
hijau,green
biru,blue
putih,white
hitam,black
cokelat,brown
abu_abu,gray
ungu,purple
oranye,orange
jingga,orange (color)
pink,pink
emas,gold (color)
perak,silver (color)
muda,light (color)
tua,dark (color)
tebal,thick
tipis,thin
bulat,round
kotak,square; box
segitiga,triangle
lurus,straight
bengkok,bent
tajam,sharp
tumpul,blunt
rata,flat
kasar,"rough, coarse"
halus,"smooth, fine"
terbuka,open
tertutup,closed
patung,statue
kaca,glass
baja,steel
tembaga,copper
timah,tin
seng,zinc
logam,metal
plastik,plastic
karet,rubber
kapas,cotton
sutra,silk
kulit,leather; skin
bambu,bamboo
rotan,rattan
bata,brick
semen,cement
cat,paint
bensin,gasoline
solar,diesel
listrik,electricity
gas,gas
benang,thread
kain,cloth
handuk,towel
selimut,blanket
bantal,pillow
kasur,mattress
lemari,cabinet
rak,shelf
laci,drawer
cermin,mirror
lampu,lamp
lilin,candle
korek,lighter; match
payung,umbrella
sapu,broom
ember,bucket
piring,plate
mangkuk,bowl
sendok,spoon
garpu,fork
pisau,knife
gelas,glass (drinking)
botol,bottle
panci,pot
wajan,frying pan
kompor,stove
kulkas,refrigerator
kipas,fan
telepon,telephone
komputer,computer
layar,screen
radio,radio
televisi,television
kamera,camera
foto,photo
gambar,"picture, drawing"
lukisan,painting
musik,music
lagu,song
suara,"voice, sound"
bunyi,sound
warna,color
bau,"smell, odor"
rasa,"taste, feeling"
sentuhan,touch
sakit,pain
nikmat,pleasure
manis,sweet
asin,salty
asam,sour
pahit,bitter
pedas,spicy
gurih,savory
segar,fresh
busuk,rotten
harum,fragrant
wangi,fragrant
basi,stale
mentah,raw
matang,"ripe, cooked"
goreng,fried
rebus,boiled
bakar,"grilled, burned"
panggang,roasted
kukus,steamed
potong,"cut, piece"
campuran,mixture
adonan,dough
bumbu,spice
sambal,chili sauce
kecap,soy sauce
cuka,vinegar
merica,pepper
jahe,ginger
kunyit,turmeric
bawang,onion
cabai,chili
tomat,tomato
wortel,carrot
bayam,spinach
kangkung,water spinach
terong,eggplant
mentimun,cucumber
kentang,potato
jagung,corn
kacang,"bean, nut"
tahu,"know; tofu"
tempe,tempeh
santan,coconut milk
kelapa,coconut
pisang,banana
mangga,mango
jeruk,orange (fruit)
apel,apple
semangka,watermelon
anggur,grape
pepaya,papaya
durian,durian
rambutan,rambutan
nanas,pineapple
jambu,guava
alpukat,avocado
