aber,but
murmelt,mumbles / murmurs
musik,music
müde,tired
müssen,must / to have to
nach,to / after
nachmittag,afternoon
nachricht,news / message
nacht,night
nahe,near
name,name
natur,nature
nehmen,to take
nein,no
neu,new
neun,nine
neunzehn,nineteen
neunzig,ninety
nicht,not
nichts,nothing
nie,never
niedrig,low
niedrigen,low (declined)
nimmt,takes
noch,still / yet
nord,north
norden,north
notiz,note
notizzettel,note / sticky note
november,November
nun,now
nur,only
ober,upper / waiter
obst,fruit
oder,or
ohne,without
ohr,ear
oktober,October
onkel,uncle
orangefarbener,orange-colored
osten,east
paar,pair / couple
papier,paper
partei,party (political)
pause,break / pause
polizei,police
post,post / mail
programm,programme
programmheft,programme booklet
pullover,sweater / pullover
putzen,to clean
quelltext,source code
rad,wheel / bike
radio,radio
rammt,rams / slams
regen,rain
regnen,to rain
reich,rich
reiss,rip / tear (imperative)
reisst,tears / rips
reiß,rip / tear (imperative)
reißt,tears / rips
rennen,to run
rick,Rick
rot,red
ruhig,quiet / calm
rund,round
sache,thing / matter
sagen,to say
salz,salt
samstag,Saturday
satz,sentence
sauber,clean
sauer,sour / annoyed
schachtel,box
schade,pity
schaffen,to create / to manage
schauen,to look
schaum,foam / lather
scheinen,to shine / to seem
schenken,to give (as gift)
schicken,to send
schiebt,pushes
schiff,ship
schimmer,glimmer / idea
schlafen,to sleep
schlafzimmer,bedroom
schlecht,bad
schliessen,to close
schliesst,closes
schließen,to close
schließt,closes
schloss,castle / lock
schluck,sip / gulp
schluessel,key
schlüssel,key
schmal,narrow
schnee,snow
schnell,fast
schock,shock
schoen,beautiful / nice
schokolade,chocolate
schon,already
schrank,cupboard / wardrobe
schreiben,to write
schreien,to shout
schuh,shoe
schule,school
schwarz,black
schwer,heavy / difficult
schwester,sister
schwimmen,to swim
schön,beautiful / nice
sechs,six
sechzehn,sixteen
sechzig,sixty
sehen,to see
sehr,very
seife,soap
sein,his / to be
seine,his (f / pl)
seit,since / for (time)
seite,page / side
sekunde,second
selber,myself
selten,rare / seldom
september,September
sich,himself / herself / themselves
sie,she / they / you (formal)
sieben,seven
siebzehn,seventeen
siebzig,seventy
siehst,see (2nd sing.)
sieht,sees
sitzen,to sit
so,so
sofa,sofa
sofort,immediately
sohn,son
soll,should
sommer,summer
sonn,sun
sonne,sun
sonntag,Sunday
sonst,otherwise
soweit,as far as
spanien,Spain
speisen,to dine
spiel,game
spielen,to play
sprache,language
sprechen,to speak
stadt,city
starken,strong (declined)
starrt,stares
station,station
stehlen,to steal
steht,stands / is located
stein,stone
sterben,to die
stern,star
stoesst,bumps / pushes
stolz,proud
strasse,street
straße,street
stunde,hour
stößt,bumps / pushes
suchen,to search / to look for
sucht,searches
sued,south
sueden,south
suess,sweet
süd,south
süden,south
süß,sweet
tag,day
tanzen,to dance
tasche,bag / pocket
tasse,cup
taste,key (keyboard)
tausend,thousand
tee,tea
teil,part
telefon,telephone
teppich,carpet
teuer,expensive
tisch,table
tischchen,small table
tochter,daughter
tor,gate / goal
tragen,to carry / to wear
trinken,to drink
tuer,door
tun,to do
tutorium,tutorial
tür,door
ueber,over / about
uebersetzen,to translate
uhr,clock / watch
um,around / at
und,and
uns,us
unser,our
unten,below / downstairs
unter,under
unterlippe,lower lip
vater,father
veraendern,to change / to alter
verdacht,suspicion
verkaufen,to sell
verlieren,to lose
verstehen,to understand
verändern,to change / to alter
viel,much / many
vielen,many (pl. dative)
vielleicht,perhaps
vier,four
vier jahreszeiten,four seasons
vierzehn,fourteen
vierzig,forty
vogel,bird
voll,full
voller,full of (declined)
vom,from the (m/n)
von,from / of
vor,before / in front of
vorzeitig,prematurely
waechst,grows
waehrend,during / while
wagen,car / coach
wald,forest
wand,wall (interior)
wann,when (question)
ware,goods / merchandise
warum,why
was,what
waschen,to wash
wasser,water
weg,way / path
weich,soft
weil,because
wein,wine
weinen,to cry
weiss,white / know(s)
weit,far / wide
weiß,white / know(s)
welt,world
wenig,few / little
wenigstens,at least
wenn,if / when
wer,who
werden,to become / will
westlich,western / to the west
wetter,weather
wichtig,important
wie,how / as / like
wieder,again
wiederholen,to repeat
will,want(s) (1/3 sing.)
wind,wind
winter,winter
wird,will / becomes
wissen,to know (a fact)
wo,where
woche,week
woerterbuch,dictionary
woertlich,literally
wohl,probably / well
wohnen,to live / to reside
wohnzimmer,living room
wolke,cloud
wollen,to want
wort,word
wuchs,grew
wächst,grows
während,during / while
wörterbuch,dictionary
wörtlich,literally
zahl,number
zehn,ten
zeichentrickfilm,cartoon
zeigen,to show
zeit,time
zettel,slip of paper / note
zimmer,room
zimmers,of the room (genitive)
zu,to / closed / too
zucker,sugar
zufrieden,satisfied / content
zug,train
zugehoert,listened
zugehört,listened
zuhoeren,to listen
zuhören,to listen
zum,to the (m/n)
zur,to the (f)
zurueck,back
zurück,back
zusammen,together
zwanzig,twenty
zwei,two
zwinkert,winks
zwoelf,twelve
zwölf,twelve
ähm,um / erm
ändern,to change
über,over / about
übersetzen,to translate
