abadi,eternal
duka,"grief, sorrow"
dukung,support
dukungan,support
dulang,pan (mining)
dunia,world
dupa,incense
durian,durian
efek,effect
efektif,effective
efisien,efficient
egoisme,selfishness
ekologi,ecology
ekonomi,economy
eksperimen,experiment
ekspor,export
ekspresi,expression
elang,eagle
elektronik,electronic
elemen,element
emang,indeed (informal)
emas,gold
ember,bucket
emosi,emotion
empat,four
empati,empathy
enak,"delicious, tasty"
enam,six
energi,energy
era,era
erat,"tight, close"
es,ice
esok,"tomorrow, next"
etika,ethics
evaluasi,evaluation
evolusi,evolution
fajar,dawn
fakta,fact
fasilitas,facility
festival,festival
figur,figure
filosofi,philosophy
final,final
finansial,financial
fisik,physical
flu,flu
fokus,focus
formal,formal
formulir,form (document)
forum,forum
foto,photo
frekuensi,frequency
frustasi,frustration
fungsi,function
furnitur,furniture
gabung,merge
gadis,girl
gagal,fail
gagasan,idea
galak,fierce
galeri,gallery
gali,dig
gambar,"picture, drawing"
gampang,easy
ganda,double
gandum,wheat
gang,"narrow alley, lane"
gangguan,disturbance
ganja,marijuana
ganteng,handsome
gantung,hang
garam,salt
garansi,warranty
garap,"work on, cultivate"
garasi,garage
garis,line
garpu,fork
gas,gas
gawang,goal (sports)
gawat,"critical, serious"
gaya,style
gedung,building (large)
gelap,dark
gelar,"title, degree"
gelas,glass (drinking)
geledah,"search, frisk"
gelisah,restless
gelombang,wave
gema,echo
gemilang,glorious
gempa,earthquake
genangan,puddle
genap,even (number)
generasi,generation
geografi,geography
gerak,motion
gerakan,movement
gerbang,gate
gereja,church
gerimis,drizzle
gerombolan,gang
giat,active
gigi,tooth
gigit,bite
gila,"crazy, insane"
giliran,"turn, shift"
gimana,how (informal)
gitu,like that (informal)
gizi,nutrition
global,global
golongan,"group, class"
goreng,fried
goresan,scratch
gosip,gossip
gosok,"rub, scrub"
grafis,graphics
gratis,free (no cost)
grogi,nervous
gubah,compose
gubuk,"shack, hut"
gudang,warehouse
gue,I (Jakarta slang)
gugup,nervous
gula,sugar
gulai,curry
guna,"use, purpose"
gunakan,use
guncang,"shake, tremble"
gunung,mountain
gurih,savory
guru,teacher
habis,"finished, used up"
hadapi,face (confront)
hadiah,"gift, prize"
hadir,present
hadirin,audience
hafal,memorize
hajar,"beat up, hit"
hak,right (entitlement)
hakikat,essence
hakim,judge
hal,"thing, matter"
halaman,"yard, page"
halang,"block, obstruct"
halo,hello
halus,"smooth, fine"
hamba,"servant, slave"
hambat,hinder
hamil,pregnant
hampir,almost
hancur,"destroyed, ruined"
hancurkan,destroy
handuk,towel
hangat,warm
hantam,hit hard
hantu,ghost
hanya,only
hapus,"delete, erase"
harap,hope
harga diri,"self-esteem, dignity"
harga,price
hargai,appreciate
hari,day
harmoni,harmony
hartawan,wealthy person
harum,fragrant
harus,"must, have to"
hasil,"result, yield"
hati,"heart, liver"
hati-hati,"be careful, cautious"
haus,thirsty
hayat,life
hebat,"great, awesome"
hei,hey
helikopter,helicopter
helm,helmet
hemat,"economical, save"
heran,"amazed, surprised"
heroin,heroin
hewan,animal
hiasan,decoration
hidangan,dish (food)
hidung,nose
hidup,"live, life"
hidupkan,"turn on, activate"
hierarki,hierarchy
hijau,green
hina,insult
hingga,until
hisap,"suck, inhale"
hitam,black
hitung,count
hormat,"salute, respect"
hormati,respect
hormon,hormone
hostel,hostel
hubungan,relationship
hujan,rain
hukum,law
hukuman,punishment
humor,humor
humoris,humorous
huruf,letter (alphabet)
hutan,forest
ialah,"is, are (formal)"
ibadah,worship
ibu kota,capital city
ibu,mother
ibukota,capital city
ibumu,your mother
ide,idea
identitas,identity
ideologi,ideology
ijazah,diploma
ijin,"permission, permit"
ikan,fish
ikat,"tie, bind"
iklan,advertisement
iklim,climate
ikut,"follow, join"
ikuti,follow
ilmuwan,scientist
ilusi,illusion
imam,imam
imbalan,reward
imbang,balanced
impian,dream
impor,import
indah,beautiful
indonesian,english
industri,industry
informasi,information
infrastruktur,infrastructure
ingat,remember
ingin,want
ini,"this, these"
insinyur,engineer
inspirasi,inspiration
insting,instinct
instruksi,instruction
interaksi,interaction
internal,internal
internasional,international
inventaris,inventory
investasi,investment
iris,slice
isi,"fill, contents"
istilah,"term, terminology"
istirahat,"rest, break"
istri,wife
isyarat,signal
itu,"that, those"
izin,"permission, permit"
jabatan,"position, office"
jadi,"so, become"
jadwal,schedule
jaga,"guard, watch"
jagoan,"hero, champion"
jagung,corn
jahat,"evil, bad"
jahe,ginger
jajah,colonize
jalan keluar,exit
jalan raya,highway
jalan,"road, street, walk"
jalang,"wild, stray"
jalur,"lane, path, route"
jam tangan,watch
jam,"hour, clock"
jambu,guava
jamu,herbal medicine
jamuan,banquet
jangan,don't
jangka,"term, reach"
janji,"promise, appointment"
jarak,distance
jarang,rarely
jari,finger
jaringan,network
jarum,needle
jasa,"service, merit"
jatah,ration
jatuh,fall
jatuhkan,drop
jauh,far
jawab,answer
jawaban,answer
jejak,"trail, track"
jelajahi,explore (imperative)
jelas,clear
jelek,ugly
jembatan,bridge
jemput,"pick up, fetch"
jemuran,clothesline
jendela,window
jenis,"type, kind"
jentik,flick
jerat,"trap, snare"
jernih,clear (water)
jeruk,orange (fruit)
jika,"if, whether"
jilat,lick
jin,"jinn, spirit"
jinak,tame
jingga,orange (color)
jiwa,"soul, spirit"
juara,"champion, winner"
jubah,robe
judul,title
juga,also
jujur,honest
julukan,nickname
jumlah,"total, amount"
jurang,cliff
jurnal,journal
juru,expert
jurus,"method, technique"
juta,million
kabar,news
kabupaten,regency
kabut,"fog, mist"
kaca,glass
kacamata,"glasses, spectacles"
kacang,"bean, nut"
kadang,sometimes
kadar,"level, content"
kaget,startled
kain,cloth
kakak,older sibling
kakek,grandfather
kaki,"foot, leg"
kaku,"stiff, rigid"
kala,"time; underworld spirit"
kalah,lose
kalender,calendar
kali,time (occurrence); river
kaliber,caliber
kalimat,sentence
kalori,calorie
kamar,room
kambing hitam,scapegoat
kambing,goat
kamera,camera
kami,we (exclusive)
kampanye,campaign
kampung,"village, neighborhood"
kamu,you (informal)
kan,"right?, isn't it?"
kanan,right (direction)
kandang,"cage, stable"
kandung,"biological, womb"
kangkung,water spinach
kantong,"pocket, bag"
kantor,office
kaos,t-shirt
kapal,"ship, boat"
kapan saja,anytime
kapan,when
kapas,cotton
karakter,character
karangan,essay
karena,because
karet,rubber
kargo,cargo
karier,career
kartu,card
karya,"work, creation"
karyawan,employee
kasar,"rough, coarse"
kasih,"love, affection"
kasihan,"pity, poor thing"
kasur,mattress
kasus,case
kata sandi,password
kata,word
kata-kata,words
katak,frog
katakan,"say, tell"
kaus,"t-shirt, socks"
kawal,escort
kawasan,area
kawat,wire
kawin,"marry, mate"
kaya,rich
kayak,"like, as (informal)"
kayu,"wood, timber"
ke,"to, toward"
kebakaran,fire (disaster)
kebanggaan,pride
kebaya,traditional Indonesian blouse
kebersihan,cleanliness
kebijakan,policy
kebijaksanaan,wisdom
kebun,"garden, plantation"
kecanduan,addiction
kecap,soy sauce
kecelakaan,accident
kecewa,disappointed
kecil,small
kecuali,except
kecup,kiss
kecurigaan,suspicion
kedai,"cafe, small shop"
kedatangan,arrival
kedua,second
kegembiraan,joy
kegiatan,activity
kehadiran,attendance
kehidupan,"life, livelihood"
kehormatan,honor
keindahan,beauty
kejadian,"event, incident"
kejahatan,crime
kejam,cruel
kejar,chase
kejauhan,in the distance
kejutan,surprise
kekalahan,defeat
kekayaan,wealth
kekerasan,violence
kekuatan,"strength, power"
kekurangan,"shortage, lack"
kelakuan,behavior
kelapa,coconut
kelas,class
kelembutan,gentleness
keliling,around
kelompok,group
kelopak,flower petal
keluar,exit
keluarga,family
keluhan,complaint
kemalangan,misfortune
kemana,"where to, to where"
kemarin,yesterday
kemauan,"will, desire"
kembali,return
kemenangan,victory
kemerdekaan,"freedom, independence"
kemewahan,luxury
kemiskinan,poverty
kemuliaan,glory
kemungkinan,"possibility, chance"
kena,"hit, affected by"
kenakan,"wear, put on"
kenal,to know (person)
kenalan,acquaintance
kenapa,why
kencang,"fast, tight"
kendaraan,vehicle
kentang,potato
kepada,to (person)
kepadatan,density
kepala,head
kepalanya,his/her head
kepentingan,"interest, importance"
kepercayaan,"trust, belief"
keputusan,decision
kerabat,relative
kerajaan,kingdom
kerajinan,"craft, diligence"
keramik,ceramic
keranjang,basket
keras,hard
keren,"cool, awesome"
kereta api,train
kereta,train
kering,dry
keringat,sweat
keripik,"chips, crackers"
keriput,wrinkle
kerja sama,cooperation
kerja,work
kerohanian,spirituality
kertas,paper
kerugian,loss
kerumunan,crowd
kerupuk,prawn cracker
kesabaran,patience
kesadaran,awareness
kesalahan,"mistake, error"
kesan,"impression, effect"
kesatuan,unity
kesehatan,health
keseimbangan,balance
keselamatan,safety
kesempatan,"opportunity, chance"
kesenangan,pleasure
kesetiaan,loyalty
kesiapan,readiness
ketakutan,fear
ketentuan,provision
keterampilan,skill
ketidakadilan,injustice
ketiga,third
ketik,type
ketika,when
ketinggian,"height, altitude"
ketua,"chief, chairman"
ketuk,knock
kewajiban,obligation
kewarganegaraan,citizenship
khawatir,worried
khidmat,solemn
khusus,special
kiblat,direction (prayer)
kilat,lightning
kimia,chemistry
kini,now
kipas,fan
kiprah,performance
kiri,left (direction)
kirim,"send, deliver"
kisah,story
kita,we (inclusive)
klaim,claim
klien,client
kok,(informal emphasis)
kokoh,"sturdy, solid"
kolam,"pool, pond"
koleksi,collection
koma,comma; coma
komang,"Komang (Balinese name for third-born child)"
komentar,comment
komisi,commission
komitmen,commitment
kompatibel,compatible
kompetisi,competition
kompleks,complex
kompor,stove
komputer,computer
komunitas,community
kondisi,condition
kondom,condom
konflik,conflict
kongres,congress
konsep,concept
konservasi,conservation
konstitusi,constitution
konstruksi,construction
konsultasi,consultation
konsumen,consumer
konteks,context
kontrak,contract
kontribusi,contribution
kontroversi,controversy
koordinasi,coordination
kopi,coffee
korban,victim
korek,lighter; match
korupsi,corruption
kos,boarding house
kosong,empty
kosongkan,empty (verb)
kota,"city, town"
kotak,square; box
kotor,dirty
kreativitas,creativity
kredit,credit
kritik,criticism
ku,"my, I (prefix)"
kualitas,quality
kuasa,"power, authority"
kuat,strong
kubur,grave
kuburan,cemetery
kucing,cat
kuda,horse
kuil,temple
kukus,steamed
kuliah,college lecture
kulit,skin
kulkas,refrigerator
kumpul,gather
kunang-kunang,firefly
kunci,key
kuning,yellow
kunjungan,visit
kunjungi,visit
kunyit,turmeric
kuota,quota
kupas,peel
kupon,coupon
kupu kupu,butterfly
kurang,less
kurikulum,curriculum
kursi,chair
kursus,course
kurus,"thin, skinny"
kurva,curve
kutip,quote
kutu,"louse, flea"
kutub,pole (geography)
kuyup,drenched
laba,profit
lacak,"trace, track"
laci,drawer
lagi,"again, more"
lagu,song
lahir,"born, birth"
lain,other
laki laki,male
lalai,negligent
lalat,fly (insect)
lalu,then
lama,old (things)
lambaikan,wave (hand)
lambat,slow
lampu,lamp
lancar,"smooth, fluent"
landasan,"foundation, runway"
langit,sky
langka,rare
langkah,"step, move"
lanjut,"continue, advanced"
lantai,floor
lapangan,"field, court"
lapar,hungry
lapisan,layer
lapor,report
larang,forbid
lari,run
latar,"background, setting"
latih,train
laut,sea
lawan,opponent
layak,"worthy, decent"
layanan,service
layang-layang,kite
layar,"screen, sail"
lebar,"wide, broad"
lebih,more
ledakan,explosion
legal,legal
lelah,tired
leluhur,ancestor
lemah,weak
lemak,fat (noun)
lemari,cabinet
lembaga,institution
lembah,valley
lembar,"sheet, piece"
lembut,soft
lempar,throw
lengan,arm
lengkap,"complete, full"
lepas,"release, remove"
lepaskan,"release, untie"
letakkan,"put, place"
level,level
lho,(surprise particle)
liar,wild
liat,tough; see (informal)
liberal,liberal
libur,"holiday, off"
licin,slippery
lidah,tongue
lihat,"look, see"
lilin,candle
lima,five
lindung,shelter
lindungi,protect
lingkungan,environment
lipat,fold
lisensi,license
listrik,electricity
literatur,literature
lobi,lobby
logam,metal
logika,logic
lokasi,location
lomba,"race, competition"
lompat,jump
lompati,jump over
longsor,landslide
lorong,"corridor, hallway"
lotere,lottery
lu,you (Jakarta slang)
luar,outside
luas,"spacious, wide"
lucu,funny
lukis,paint (art)
lukisan,painting
lulusan,graduate
lumayan,"fairly, not bad"
lumpur,mud
luncurkan,launch
lupa,forget
lurah,village head
lurus,straight
lutut,knee
maaf,sorry
macam,"kind, type, sort"
made,"Made (Balinese name for second-born child)"
magang,internship
mahal,expensive
mahasiswa,university student
main,play
mainkan,play (an instrument/game)
majalah,magazine
makam,tomb
makan,eat
makanan,food
makhluk,creature
makmur,prosperous
maksud,"meaning, intention"
malah,"instead, on the contrary"
malam,"night, evening"
malu,shy
mampir,to drop in
mampu,able
mana,where
mana-mana,everywhere
manajer,manager
manfaat,benefit
mangga,mango
mangkir,absent
mangkuk,bowl
manis,sweet
mantan,"ex-, former"
manufaktur,manufacturing
manusia,"human, mankind"
mapan,established
marah,angry
marginal,marginal
maritim,maritime
mas,older brother (Javanese)
masa,"time, period, era"
masal,mass
masalah,problem
masih,still
masing-masing,each
masjid,mosque
masuk,enter
masuki,enter
masukkan,"insert, put in"
masyarakat,"society, community"
mata,eye
matahari,sun
matang,"ripe, mature, cooked"
mati,"dead, die"
matikan,"turn off, switch off"
mau,"want, want to"
maut,death
mawas diri,self-aware
mbak,older sister (Javanese)
me,(prefix: active verb)
medali,medal
medan,"field, terrain"
megah,magnificent
meja,table
mekah,Mecca
melalui,through
melambai,to wave
melambaikan,to wave
melempar,to throw
melepas,"to release, remove"
melepaskan,"to release, untie"
meletakkan,put
meletakkannya,to place it
melihat,see
melodi,melody
melompat,to jump
melompati,to jump over
memadamkan,"to extinguish, put out"
memainkan,to play (something)
memakai,"to wear, use"
memakan,to eat
memang,"indeed, truly"
memanjat,to climb
memasak,cook
memastikan,ensure
memasuki,to enter
memasukkan,"to insert, put in"
mematikan,"to turn off, switch off"
membaca,read
membakar,"to burn, grill"
membantu,help
membasahi,to wet
membawa,bring
membayar,pay
membeli,buy
memberi,give
memberikan,"to give, hand over"
memberitahu,"to tell, inform"
membersihkan,to clean
membosankan,boring
membuat,make
membuka,to open
memecahkan,"to break, shatter"
memeluk,"to hug, embrace"
memenuhi,to fill
memeriksa,"to examine, check"
memesan,to order
memetik,"to pick, pluck"
memiliki,"own, possess"
memimpin,lead
meminta,"to request, ask for"
meminum,to drink
memompa,to pump
memonitor,monitor
memotong,to cut
mempelajari,study
memperbaiki,"to fix, repair"
memperbarui,update
memperhatikan,pay attention
memuja,to worship
memukul,"to hit, strike"
memulai,to begin
memutar,"to turn, rotate"
memutuskan,decide
menaiki,"to ride, get on"
menakjubkan,astonishing
menang,win
menantu,son/daughter-in-law
menanyakan,to ask about
menari,dance
menarik,interesting
menaruh,"put, place"
menawar,to haggle
mencari,search
menceritakan,"to narrate, tell a story"
mencicipi,"to taste, try"
mencintai,"to love, be in love with"
mencium,"to smell, kiss"
mencoba,try
mencurigakan,suspicious
mendekati,approach
mendengar,hear
mendengarkan,to listen to
mendorong,to push
menduga,suspect
menebus,redeem
menekan,to press
menemukan,find
menendang,to kick
menerima,receive
mengagumkan,amazing
mengajar,teach
mengaku,confess
mengalami,experience
mengambil,take
mengangkat,to lift
mengapa,why
mengarah,to lead toward
mengarahkan,"to aim, point"
mengatur,"to set, arrange"
mengecup,to kiss
mengejutkan,surprising
mengeluh,complain
mengenakan,"to wear, put on"
mengepul,to billow
mengerti,understand
mengetuk,to knock
menggali,to dig
menggeledah,"to search, frisk"
menggosok,"to rub, scrub"
menggunakan,to use
mengguncang,to shake
mengguyur,"to pour down, to drench"
menghancurkan,to destroy
menghargai,appreciate
menghidupkan,"to turn on, activate"
menghisap,"to suck, inhale"
menghitung,count
menghormati,honor
menghubungkan,to connect
mengikat,"to tie, bind"
mengikuti,to follow
mengirim,send
mengiringi,to accompany
mengisi,to fill
mengkilat,shiny
mengobati,treat (medical)
mengosongkan,to empty
mengubah,change
mengunci,to lock
mengunjungi,visit
mengupas,to peel
mengurus,"handle, take care of"
mengusir,to chase away
menikah,marry
menikmati,enjoy
menilai,"judge, evaluate"
menit,minute
meniup,to blow
menjadi,become
menjaga,"to guard, to protect"
menjalar,to spread/creep
menjatuhkan,to drop
menjawab,answer
menjelajahi,to explore
menjentik,to flick
menjilat,to lick
menjual,sell
menjulang,to tower
menoleh,"turn, glance"
menolong,help
menonjol,prominent
menopang,to support
mentah,raw
mental,mental
mentimun,cucumber
menuang,to pour
menuju,to head toward
menulis,write
menunggu,wait
menunjukkan,show
menurun,"decrease, decline"
menuruni,to descend
menurut,according to
menutup,to close
menyalakan,"to turn on, light"
menyambut,welcome
menyentuh,to touch
menyerang,to attack
menyeruput,to sip
menyetujui,approve
menyewa,rent
meraba,"to feel, grope"
merah,red
merantau,to migrate for work
merasa,feel
merawat,"take care of, treat"
mereka,"they, them"
merica,pepper
merindukan,miss (someone)
mertua,parent-in-law
meskipun,although
meter,meter
metode,method
mie,noodles
mil,mile
milik,"belonging, property"
mimpi,dream
mineral,mineral
minggu,week
minta maaf,apologize
minta,"request, ask for"
minum,drink
minuman,drink (noun)
minyak,oil
miskin,poor
mitra,partner
mobil,car
modal,capital (money)
momen,moment
motor,motorcycle
mu,your (suffix)
muda,young
mudah,easy
mudik,go home (for holiday)
mujair,tilapia
muka,face
mulai,start
mulia,noble
mulut,mouth
murah,cheap
murid,"student, pupil"
musik,music
musim,"season, monsoon"
musuh,enemy
nada,"tone, pitch"
nafsu,"desire, appetite"
naik,"go up, ride"
naiki,"ride, get on"
nakal,naughty
nama,name
nama-nama,names
nanas,pineapple
nanti,later
napas,breath
narkoba,"drugs, narcotics"
nasehat,advice
nasi goreng,fried rice
nasi,rice (cooked)
nasib,"fate, destiny"
negara,country
negeri,"land, state"
nego,negotiate
nekat,reckless
nelayan,fisherman
nenek,grandmother
nggak,no (informal)
niaga,"commerce, trade"
nih,(this here)
nikmat,pleasure
nila,"nile tilapia"
nilai,"value, grade"
niscaya,certainly
noda,stain
nol,zero
nomor,number
nonaktif,inactive
normal,normal
notifikasi,notification
nuansa,nuance
nya,"his, her, its"
nyala,"flame, lit"
